"","name","type","randomForest.importance"
"78","f1_topological.khs.tsC.x","integer",13.4394091963133
"79","f1_topological.khs.dssC.x","integer",16.1026554630732
"80","f1_topological.khs.aasC.x","integer",24.1393647007761
"81","f1_topological.khs.aaaC.x","integer",15.3991553456951
"82","f1_topological.khs.ssssC.x","integer",10.4048287954942
"83","f1_topological.khs.sNH3.x","integer",1.00100150250438
"84","f1_topological.khs.sNH2.x","integer",13.2276030183065
"85","f1_topological.khs.ssNH2.x","integer",-0.167470194571514
"86","f1_topological.khs.dNH.x","integer",4.55841363624282
"87","f1_topological.khs.ssNH.x","integer",13.9756501147761
"88","f1_topological.khs.aaNH.x","integer",14.988770736392
"89","f1_topological.khs.tN.x","integer",9.38050074709136
"90","f1_topological.khs.dsN.x","integer",25.6472408068157
"91","f1_topological.khs.aaN.x","integer",12.2690921037097
"92","f1_topological.khs.sssN.x","integer",14.2584675019742
"93","f1_topological.khs.ddsN.x","integer",7.24374734323261
"94","f1_topological.khs.aasN.x","integer",11.3212223604191
"95","f1_topological.khs.ssssN.x","integer",10.7137327133109
"96","f1_topological.khs.sOH.x","integer",9.51254122711624
"97","f1_topological.khs.dO.x","integer",9.99415764028644
"98","f1_topological.khs.ssO.x","integer",22.7590874447031
"99","f1_topological.khs.aaO.x","integer",13.4147078042015
"100","f1_topological.khs.sF.x","integer",16.8224284284839
"101","f1_topological.khs.dsssP.x","integer",6.87425028946751
"102","f1_topological.khs.sSH.x","integer",-3.49503991296517
"103","f1_topological.khs.dS.x","integer",3.86890639987675
"104","f1_topological.khs.ssS.x","integer",11.2705624063761
"105","f1_topological.khs.aaS.x","integer",14.9319598966955
"106","f1_topological.khs.dssS.x","integer",-0.771167997936149
"107","f1_topological.khs.ddssS.x","integer",18.5747162226754
"108","f1_topological.khs.sCl.x","integer",18.4950071809071
"109","f1_topological.khs.sBr.x","integer",3.53816081131605
"110","f1_topological.khs.sI.x","integer",4.11660202612886
"111","f1_topological.Kier1.x","numeric",13.4554230323564
"112","f1_topological.Kier2.x","numeric",17.3719860607426
"113","f1_topological.Kier3.x","numeric",19.9049948692175
"114","f1_topological..xbRatio.x","numeric",25.8721225388227
"115","f1_topological.fragC.x","numeric",31.2209933979458
"116","f1_topological.FMF.x","numeric",26.8508840236908
"117","f1_topological.ECCEN.x","integer",19.2767962709794
"118","f1_topological.SP.0.x","numeric",13.4622422698526
"119","f1_topological.SP.1.x","numeric",27.3245561577209
"120","f1_topological.SP.2.x","numeric",13.9723010351022
"121","f1_topological.SP.3.x","numeric",23.0674460381994
"122","f1_topological.SP.4.x","numeric",19.6549975561794
"123","f1_topological.SP.5.x","numeric",27.6670625768297
"124","f1_topological.SP.6.x","numeric",27.872107024789
"125","f1_topological.SP.7.x","numeric",28.2883838235074
"126","f1_topological.VP.0.x","numeric",24.9474651605223
"127","f1_topological.VP.1.x","numeric",19.6284865886481
"128","f1_topological.VP.2.x","numeric",21.4064721720092
"129","f1_topological.VP.3.x","numeric",22.7209664228187
"130","f1_topological.VP.4.x","numeric",10.3778872639428
"131","f1_topological.VP.5.x","numeric",23.3026629535583
"132","f1_topological.VP.6.x","numeric",26.882357836648
"133","f1_topological.VP.7.x","numeric",27.7469141449609
"134","f1_topological.SPC.4.x","numeric",12.0097466698568
"135","f1_topological.SPC.5.x","numeric",14.4914664118295
"136","f1_topological.SPC.6.x","numeric",15.8774543236211
"137","f1_topological.VPC.4.x","numeric",15.3562378978655
"138","f1_topological.VPC.5.x","numeric",25.0765422917081
"139","f1_topological.VPC.6.x","numeric",25.3111986659417
"140","f1_topological.SC.3.x","numeric",13.9265031750823
"141","f1_topological.SC.4.x","numeric",21.2949693839766
"142","f1_topological.SC.5.x","numeric",18.2882644958847
"143","f1_topological.SC.6.x","numeric",21.6268133289398
"144","f1_topological.VC.3.x","numeric",10.9837761933042
"145","f1_topological.VC.4.x","numeric",17.7871443073559
"146","f1_topological.VC.5.x","numeric",27.056948722883
"147","f1_topological.VC.6.x","numeric",20.7461406372243
"148","f1_topological.SCH.3.x","numeric",8.13552736467854
"149","f1_topological.SCH.4.x","numeric",9.43394133446633
"150","f1_topological.SCH.5.x","numeric",17.3184920192821
"151","f1_topological.SCH.6.x","numeric",29.4611664195611
"152","f1_topological.SCH.7.x","numeric",24.0230980211073
"153","f1_topological.VCH.3.x","numeric",7.40106693977809
"154","f1_topological.VCH.4.x","numeric",7.24452870710141
"155","f1_topological.VCH.5.x","numeric",19.3731097612594
"156","f1_topological.VCH.6.x","numeric",32.4403424263165
"157","f1_topological.VCH.7.x","numeric",36.2016120807067
"158","f1_topological.C1SP1.x","integer",10.7642645090498
"159","f1_topological.C2SP1.x","integer",9.40177733910906
"160","f1_topological.C1SP2.x","integer",10.5925402458371
"161","f1_topological.C2SP2.x","integer",18.9227654645292
"162","f1_topological.C3SP2.x","integer",22.8977298123066
"163","f1_topological.C1SP3.x","integer",30.5379064843531
"164","f1_topological.C2SP3.x","integer",23.4947188610922
"165","f1_topological.C3SP3.x","integer",22.4879893677735
"166","f1_topological.C4SP3.x","integer",14.4831084399112
"167","f1_topological.ATSp1.x","numeric",28.1775417904652
"168","f1_topological.ATSp2.x","numeric",21.9912058861112
"169","f1_topological.ATSp3.x","numeric",25.0586007930351
"170","f1_topological.ATSp4.x","numeric",26.7000993855172
"171","f1_topological.ATSp5.x","numeric",22.6232478718595
"172","f1_topological.ATSm1.x","numeric",23.6828826498502
"173","f1_topological.ATSm2.x","numeric",16.6072549572094
"174","f1_topological.ATSm3.x","numeric",16.9796971035648
"175","f1_topological.ATSm4.x","numeric",13.7480854377154
"176","f1_topological.ATSm5.x","numeric",15.1365756847792
"177","f1_topological.ATSc1.x","numeric",14.4867659326533
"178","f1_topological.ATSc2.x","numeric",13.2734016201479
"179","f1_topological.ATSc3.x","numeric",38.3495045335548
"180","f1_topological.ATSc4.x","numeric",40.6005195326936
"181","f1_topological.ATSc5.x","numeric",40.8800979864962
"182","f1_electronic.tpsaEfficien.x.x","numeric",16.5799913818305
"183","f1_electronic.TopoPSA.x","numeric",18.4616437168543
"184","f1_electronic.nHBDon.x","integer",11.0578156829303
"185","f1_electronic.nHBAcc.x","integer",12.6633957274268
"186","f1_electronic.bpol.x","numeric",28.4668088556708
"187","f1_electronic.apol.x","numeric",28.6671574202747
"188","f1_geometrical.topoShape.x","numeric",21.4458509493913
"189","f1_.xbridBCUTw.1l.x","numeric",18.6167733623319
"190","f1_.xbridBCUTw.1h.x","numeric",11.3467185727511
"191","f1_.xbridBCUTc.1l.x","numeric",34.614744396142
"192","f1_.xbridBCUTc.1h.x","numeric",16.7906938386472
"193","f1_.xbridBCUTp.1l.x","numeric",26.0268070735156
"194","f1_.xbridBCUTp.1h.x","numeric",27.9906938235362
"195","f1_constitutional.yLogP.y","numeric",20.2792434972805
"196","f1_constitutional.MW.y","numeric",14.917959276332
"197","f1_constitutional.LipinskiFailures.y","integer",5.32164417652158
"198","f1_constitutional.nRotB.y","integer",21.7370336765763
"199","f1_constitutional.MLogP.y","numeric",15.1353250245823
"200","f1_constitutional.nAtomLAC.y","integer",21.0078088629108
"201","f1_constitutional.nAtomP.y","integer",26.1894383287584
