,name,hype,randomForest.importance
69,topological.MDEN.33.x,numeric,13.8765256165
175,topological.ATSm4.x,numeric,13.7480854377
261,topological.khs.sssCH.y,integer,13.682934181
324,topological.SC.3.y,numeric,13.6558081482
280,topological.khs.sOH.y,integer,13.4629992616
118,topological.SP.0.x,numeric,13.4622422699
111,topological.Kier1.x,numeric,13.4554230324
78,topological.khs.tsC.x,integer,13.4394091963
99,topological.khs.aaO.x,integer,13.4147078042
219,topological.nRings6.y,integer,13.3335469438
178,topological.ATSc2.x,numeric,13.2734016201
84,topological.khs.sNH2.x,integer,13.2276030183
318,topological.SPC.4.y,numeric,13.2026986935
215,topological.nAromBlocks.y,integer,13.1747454049
38,topological.Zagreb.x,integer,12.8544456244
253,topological.MDEN.33.y,numeric,12.7473344933
185,electronic.nHBAcc.x,integer,12.6633957274
28,topological.nSmallRings.x,integer,12.6345575927
29,topological.nAromRings.x,integer,12.580110452
276,topological.khs.sssN.y,integer,12.5516985512
346,topological.C3SP2.y,integer,12.4917227918
289,topological.khs.aaS.y,integer,12.2813309961
369,electronic.nHBAcc.y,integer,12.2734463273
91,topological.khs.aaN.x,integer,12.2690921037
134,topological.SPC.4.x,numeric,12.0097466699
350,topological.C4SP3.y,integer,11.9474024989
19,constitutional.nB.x,integer,11.8253716686
218,topological.nRings5.y,integer,11.8206407398
35,topological.nRings6.x,integer,11.7888050616
213,topological.nAromRings.y,integer,11.6485810564
64,topological.MDEN.11.x,numeric,11.6479353282
373,hybridBCUTw.1l.y,numeric,11.6369452531
74,topological.khs.tCH.x,integer,11.5919858763
368,electronic.nHBDon.y,integer,11.5583104757
260,topological.khs.aaCH.y,integer,11.5582562978
266,topological.khs.ssssC.y,integer,11.3986915239
190,hybridBCUTw.1h.x,numeric,11.3467185728
94,topological.khs.aasN.x,integer,11.3212223604
104,topological.khs.ssS.x,integer,11.2705624064
34,topological.nRings5.x,integer,11.2322653179
268,topological.khs.sNH2.y,integer,11.2164382856
244,topological.MDEC.44.y,numeric,11.1790978233
184,electronic.nHBDon.x,integer,11.0578156829
144,topological.VC.3.x,numeric,10.9837761933
158,topological.C1SP1.x,integer,10.764264509
95,topological.khs.ssssN.x,integer,10.7137327133
281,topological.khs.dO.y,integer,10.5925889746
160,topological.C1SP2.x,integer,10.5925402458
82,topological.khs.ssssC.x,integer,10.4048287955
130,topological.VP.4.x,numeric,10.3778872639
72,topological.khs.dCH2.x,integer,10.2182522905
256,topological.khs.dCH2.y,integer,10.0962818776
97,topological.khs.dO.x,integer,9.9941576403
283,topological.khs.aaO.y,integer,9.9760216327
344,topological.C1SP2.y,integer,9.5490442871
96,topological.khs.sOH.x,integer,9.5125412271
342,topological.C1SP1.y,integer,9.5047518132
279,topological.khs.ssssN.y,integer,9.4946152529
149,topological.SCH.4.x,numeric,9.4339413345
159,topological.C2SP1.x,integer,9.4017773391
89,topological.khs.tN.x,integer,9.3805007471
291,topological.khs.ddssS.y,integer,8.8775745991
275,topological.khs.aaN.y,integer,8.8336024023
248,topological.MDEN.11.y,numeric,8.5281576066
262,topological.khs.tsC.y,integer,8.4170182484
60,topological.MDEC.44.x,numeric,8.1766051882
278,topological.khs.aasN.y,integer,8.142102115
148,topological.SCH.3.x,numeric,8.1355273647
338,topological.VCH.4.y,numeric,8.1068390328
277,topological.khs.ddsN.y,integer,8.090337084
217,topological.nRings4.y,integer,8.0406332162
211,constitutional.nAcid.y,integer,7.8135740028
32,topological.nRings3.x,integer,7.6812990849
153,topological.VCH.3.x,numeric,7.4010669398
154,topological.VCH.4.x,numeric,7.2445287071
93,topological.khs.ddsN.x,integer,7.2437473432
101,topological.khs.dsssP.x,integer,6.8742502895
33,topological.nRings4.x,integer,6.798054609
258,topological.khs.tCH.y,integer,6.1829667075
332,topological.SCH.3.y,numeric,6.1599345844
343,topological.C2SP1.y,integer,6.1021683492
216,topological.nRings3.y,integer,5.9513570188
337,topological.VCH.3.y,numeric,5.5471516202
197,constitutional.LipinskiFailures.y,integer,5.3216441765
285,topological.khs.dsssP.y,integer,5.0601251788
333,topological.SCH.4.y,numeric,5.0578914454
273,topological.khs.tN.y,integer,5.0315646942
13,constitutional.LipinskiFailures.x,integer,4.6570523947
86,topological.khs.dNH.x,integer,4.5584136362
293,topological.khs.sBr.y,integer,4.3752494655
110,topological.khs.sI.x,integer,4.1166020261
103,topological.khs.dS.x,integer,3.8689063999
109,topological.khs.sBr.x,integer,3.5381608113
287,topological.khs.dS.y,integer,2.5349598297
290,topological.khs.dssS.y,integer,2.456642311
83,topological.khs.sNH3.x,integer,1.0010015025
270,topological.khs.dNH.y,integer,0.8278273009
70,topological.khs.sssB.x,integer,0
254,topological.khs.sssB.y,integer,0
85,topological.khs.ssNH2.x,integer,-0.1674701946
267,topological.khs.sNH3.y,integer,-0.4512582897
286,topological.khs.sSH.y,integer,-0.5851211442
106,topological.khs.dssS.x,integer,-0.7711679979
269,topological.khs.ssNH2.y,integer,-1.5453879981
294,topological.khs.sI.y,integer,-2.6612523791
102,topological.khs.sSH.x,integer,-3.495039913
